CollegeID,PrefNumber,UniqueID
12,10,8547075128
13,11,8547075128
14,9,8547075128
15,12,8547075128
34,13,8547075128
35,8,8547075128
36,14,8547075128
37,15,8547075128
57,16,8547075128
58,17,8547075128
81,3,8547075128
82,4,8547075128
98,1,8547075128
99,2,8547075128
119,18,8547075128
120,19,8547075128
153,20,8547075128
167,7,8547075128
168,21,8547075128
179,23,8547075128
187,22,8547075128
243,6,8547075128
244,24,8547075128
258,25,8547075128
276,26,8547075128
277,27,8547075128
308,28,8547075128
324,29,8547075128
325,30,8547075128
344,5,8547075128
345,31,8547075128
12,7,2046952971
13,2,2046952971
14,8,2046952971
15,9,2046952971
34,10,2046952971
35,11,2046952971
36,12,2046952971
37,13,2046952971
57,14,2046952971
58,5,2046952971
81,15,2046952971
82,16,2046952971
98,17,2046952971
99,18,2046952971
119,19,2046952971
120,4,2046952971
153,20,2046952971
167,21,2046952971
168,22,2046952971
179,23,2046952971
187,24,2046952971
243,25,2046952971
244,26,2046952971
258,27,2046952971
276,6,2046952971
277,1,2046952971
308,28,2046952971
324,29,2046952971
325,3,2046952971
344,30,2046952971
345,31,2046952971
179,2,9513371223
187,1,9513371223
345,3,9513371223
12,4,5180359120
13,5,5180359120
14,6,5180359120
15,7,5180359120
34,8,5180359120
35,9,5180359120
36,10,5180359120
37,11,5180359120
57,12,5180359120
58,13,5180359120
81,14,5180359120
82,15,5180359120
98,16,5180359120
99,17,5180359120
119,18,5180359120
120,19,5180359120
153,2,5180359120
167,20,5180359120
168,21,5180359120
179,22,5180359120
187,3,5180359120
243,23,5180359120
244,1,5180359120
258,24,5180359120
276,25,5180359120
277,26,5180359120
308,27,5180359120
324,28,5180359120
325,29,5180359120
344,30,5180359120
345,31,5180359120
12,18,2328757959
13,17,2328757959
14,19,2328757959
15,20,2328757959
34,22,2328757959
35,21,2328757959
36,23,2328757959
37,24,2328757959
57,25,2328757959
58,26,2328757959
81,1,2328757959
82,3,2328757959
98,2,2328757959
99,4,2328757959
119,5,2328757959
120,6,2328757959
153,9,2328757959
167,10,2328757959
168,11,2328757959
